"Hududlar bo`yicha shahar va qishloq aholisi soni",,,
"(yil boshiga; ming kishi)",,,
,,,
,"Jami aholi","shu jumladan:",
"Qoraqalpog`iston Respublikasi",1791.1,883.2,907.9
viloyatlar:,,,
Andijon,2910.5,1521.3,1389.2
Buxoro,1815.2,685,1130.2
Jizzax,1276.1,600.8,675.3
Qashqadaryo,3025.6,1300.7,1724.9
Navoiy,927.9,455.1,472.8
Namangan,2603.4,1641.9,961.5
Samarqand,3583.9,1355.3,2228.6
Surxondaryo,2411.5,861.1,1550.4
Sirdaryo,790.6,341.4,449.2
Toshkent,2794.1,1364.9,1429.2
Farg`ona,3505.3,1994.4,1510.9
Xorazm,1746.9,565.6,1181.3
"Toshkent sh.",2393.2,2393.2,-
2015,,,
"O`zbekiston Respublikasi",31022.5,15748,15274.5
"Qoraqalpog`iston Respublikasi",1763.1,873,890.1
viloyatlar:,,,
Andijon,2857.3,1500,1357.3
Buxoro,1785.4,678.4,1107
Jizzax,1250.1,589.6,660.5
Qashqadaryo,2958.9,1274.5,1684.4
Navoiy,913.2,448.5,464.7
Namangan,2554.2,1618.8,935.4
Samarqand,3514.8,1337,2177.8
Surxondaryo,2358.3,845.2,1513.1
Sirdaryo,777.1,336.6,440.5
Toshkent,2758.3,1350.2,1408.1
Farg`ona,3444.9,1965.9,1479
Xorazm,1715.6,559,1156.6
"Toshkent sh.",2371.3,2371.3,-
2014,,,
"O`zbekiston Respublikasi",30492.8,15555.2,14937.6
"Qoraqalpog`iston Respublikasi",1736.5,862,874.5
viloyatlar:,,,
Andijon,2805.5,1476.3,1329.2
Buxoro,1756.4,672.9,1083.5
Jizzax,1226.8,581.4,645.4
Qashqadaryo,2895.3,1250.8,1644.5
Navoiy,901.1,448.2,452.9
Namangan,2504.1,1593.2,910.9
Samarqand,3445.6,1324.8,2120.8
Surxondaryo,2308.3,831.5,1476.8
Sirdaryo,763.8,332.2,431.6
Toshkent,2725.9,1338.5,1387.4
Farg`ona,3386.5,1937,1449.5
Xorazm,1684.1,553.5,1130.6
"Toshkent sh.",2352.9,2352.9,-
2013,,,
"O`zbekiston Respublikasi",29993.5,15370.1,14623.4
"Qoraqalpog`iston Respublikasi",1711.8,850.5,861.3
viloyatlar:,,,
Andijon,2756.4,1453.9,1302.5
Buxoro,1729.7,667.1,1062.6
Jizzax,1205,574.1,630.9
Qashqadaryo,2831.3,1225.3,1606
Navoiy,888.4,445.2,443.2
Namangan,2458.7,1570.1,888.6
Samarqand,3380.9,1312.7,2068.2
Surxondaryo,2260.6,819.2,1441.4
Sirdaryo,750.6,325.1,425.5
Toshkent,2695.7,1328.6,1367.1
Farg`ona,3329.7,1908.7,1421
Xorazm,1653.8,548.7,1105.1
"Toshkent sh.",2340.9,2340.9,-
2012,,,
"O`zbekiston Respublikasi",29555.4,15143.2,14412.2
"Qoraqalpog`iston Respublikasi",1692.8,839.6,853.2
viloyatlar:,,,
Andijon,2714.2,1436.5,1277.7
Buxoro,1707.4,648.6,1058.8
Jizzax,1186.6,567.2,619.4
Qashqadaryo,2777.8,1203.2,1574.6
Navoiy,881.2,429,452.2
Namangan,2420.6,1551,869.6
Samarqand,3326.2,1301.2,2025
Surxondaryo,2218.9,807.9,1411
Sirdaryo,739.5,305.7,433.8
Toshkent,2671,1319.6,1351.4
Farg`ona,3280.8,1879,1401.8
Xorazm,1629.1,545.4,1083.7
"Toshkent sh.",2309.3,2309.3,-
2011,,,
"O`zbekiston Respublikasi",29123.4,14897.4,14226
"Qoraqalpog`iston Respublikasi",1680.9,837,843.9
viloyatlar:,,,
Andijon,2672.3,1420.1,1252.2
Buxoro,1683.8,644.3,1039.5
Jizzax,1166.7,560.6,606.1
Qashqadaryo,2722.9,1181.2,1541.7
Navoiy,873,429.2,443.8
Namangan,2379.5,1529.7,849.8
Samarqand,3270.8,1202.6,2068.2
Surxondaryo,2175.1,794.7,1380.4
Sirdaryo,727.2,300.7,426.5
Toshkent,2644.4,1308.3,1336.1
Farg`ona,3229.2,1852.4,1376.8
Xorazm,1601.1,540.1,1061
"Toshkent sh.",2296.5,2296.5,-
2010,,,
"O`zbekiston Respublikasi",28001.4,14425.9,13575.5
"Qoraqalpog`iston Respublikasi",1632,820.3,811.7
viloyatlar:,,,
Andijon,2549.1,1358.4,1190.7
Buxoro,1612.5,622.4,990.1
Jizzax,1116.8,526.8,590
Qashqadaryo,2616.1,1135.7,1480.4
Navoiy,851.6,420.9,430.7
Namangan,2258.5,1458.8,799.7
Samarqand,3119,1160.4,1958.6
Surxondaryo,2075,767.9,1307.1
Sirdaryo,714.4,294.7,419.7
Toshkent,2585.9,1293.2,1292.7
Farg`ona,3074.6,1802.5,1272.1
Xorazm,1561.6,529.6,1032
"Toshkent sh.",2234.3,2234.3,-
2009,,,
"O`zbekiston Respublikasi",27533.4,14236,13297.4
"Qoraqalpog`iston Respublikasi",1615.7,814.6,801.1
viloyatlar:,,,
Andijon,2499.9,1338.9,1161
Buxoro,1588.8,616.8,972
Jizzax,1098.3,520.7,577.6
Qashqadaryo,2563.6,1116.8,1446.8
Navoiy,839.3,416.7,422.6
Namangan,2217.2,1434.1,783.1
Samarqand,3061.6,1145.8,1915.8
Surxondaryo,2033.8,756.2,1277.6
Sirdaryo,703.4,290.7,412.7
Toshkent,2552.6,1278.3,1274.3
Farg`ona,3022.1,1776.2,1245.9
Xorazm,1530.8,523.9,1006.9
"Toshkent sh.",2206.3,2206.3,-
2008,,,
"O`zbekiston Respublikasi",27072.2,9698.2,17374
"Qoraqalpog`iston Respublikasi",1595.4,774.5,820.9
viloyatlar:,,,
Andijon,2451.2,716.9,1734.3
Buxoro,1566.1,456.8,1109.3
Jizzax,1079.5,321.2,758.3
Qashqadaryo,2509.4,616.5,1892.9
Navoiy,829,327.8,501.2
Namangan,2174.3,806.3,1368
Samarqand,3003.4,755,2248.4
Surxondaryo,1992.1,381.3,1610.8
Sirdaryo,693,215.8,477.2
Toshkent,2522.4,990.8,1531.6
Farg`ona,2972.2,827.2,2145
Xorazm,1504.2,328.1,1176.1
"Toshkent sh.",2180,2180,-
2007,,,
"O`zbekiston Respublikasi",26663.8,9584.6,17079.2
"Qoraqalpog`iston Respublikasi",1582.7,767.5,815.2
viloyatlar:,,,
Andijon,2409.8,707.2,1702.6
Buxoro,1545.1,453.2,1091.9
Jizzax,1064.7,317.5,747.2
Qashqadaryo,2462.2,606.7,1855.5
Navoiy,819.5,324.8,494.7
Namangan,2134.5,792.3,1342.2
Samarqand,2955.5,747.6,2207.9
Surxondaryo,1957.8,376.3,1581.5
Sirdaryo,684.3,213.3,471
Toshkent,2492.5,979,1513.5
Farg`ona,2920.3,817.5,2102.8
Xorazm,1477.8,324.6,1153.2
"Toshkent sh.",2157.1,2157.1,-
2006,,,
"O`zbekiston Respublikasi",26312.7,9495.1,16817.6
"Qoraqalpog`iston Respublikasi",1571.9,763.9,808
viloyatlar:,,,
Andijon,2375.9,699.8,1676.1
Buxoro,1525.9,450.1,1075.8
Jizzax,1051.4,314.5,736.9
Qashqadaryo,2420.4,597.5,1822.9
Navoiy,812.7,321.4,491.3
Namangan,2103.6,782.4,1321.2
Samarqand,2907.5,741.4,2166.1
Surxondaryo,1925.1,370.4,1554.7
Sirdaryo,676.9,211.5,465.4
Toshkent,2468,969.8,1498.2
Farg`ona,2878.9,809.5,2069.4
Xorazm,1453.9,322.3,1131.6
"Toshkent sh.",2140.6,2140.6,-
2005,,,
"O`zbekiston Respublikasi",26021.3,9441.9,16579.4
"Qoraqalpog`iston Respublikasi",1569.9,764.9,805
viloyatlar:,,,
Andijon,2342.7,693.7,1649
Buxoro,1507.6,448.2,1059.4
Jizzax,1043.3,313,730.3
Qashqadaryo,2378.5,589,1789.5
Navoiy,810.2,321.6,488.6
Namangan,2073.2,773.6,1299.6
Samarqand,2867.1,737.1,2130
Surxondaryo,1894.9,365.6,1529.3
Sirdaryo,672.2,210.2,462
Toshkent,2452.3,965.9,1486.4
Farg`ona,2840.9,802.3,2038.6
Xorazm,1432.8,321.1,1111.7
"Toshkent sh.",2135.7,2135.7,-
2004,,,
"O`zbekiston Respublikasi",25707.4,9381.3,16326.1
"Qoraqalpog`iston Respublikasi",1560.3,760.6,799.7
viloyatlar:,,,
Andijon,2309.1,687.1,1622
Buxoro,1490.1,446.4,1043.7
Jizzax,1030.7,308.6,722.1
Qashqadaryo,2336.4,579.7,1756.7
Navoiy,804.2,319.8,484.4
Namangan,2042.5,765.2,1277.3
Samarqand,2826.1,732.6,2093.5
Surxondaryo,1864.2,361.3,1502.9
Sirdaryo,668.5,209.7,458.8
Toshkent,2430.4,960.6,1469.8
Farg`ona,2799.2,795,2004.2
Xorazm,1410.3,319.3,1091
"Toshkent sh.",2135.4,2135.4,-
2003,,,
"O`zbekiston Respublikasi",25427.9,9340.7,16087.2
"Qoraqalpog`iston Respublikasi",1551.6,760.1,791.5
viloyatlar:,,,
Andijon,2279.7,680.6,1599.1
Buxoro,1473.9,445.4,1028.5
Jizzax,1019.5,304.2,715.3
Qashqadaryo,2294.7,572.5,1722.2
Navoiy,799.7,319,480.7
Namangan,2013.7,755.3,1258.4
Samarqand,2789.1,731.6,2057.5
Surxondaryo,1834.3,357.8,1476.5
Sirdaryo,664.1,209.5,454.6
Toshkent,2411.8,956.6,1455.2
Farg`ona,2765.7,790.2,1975.5
Xorazm,1390.9,318.7,1072.2
"Toshkent sh.",2139.2,2139.2,-
2002,,,
"O`zbekiston Respublikasi",25115.8,9286.9,15828.9
"Qoraqalpog`iston Respublikasi",1540.1,753.7,786.4
viloyatlar:,,,
Andijon,2247.4,673.4,1574
Buxoro,1456.1,444.2,1011.9
Jizzax,1005.7,301.8,703.9
Qashqadaryo,2253.7,566,1687.7
Navoiy,795.8,319.4,476.4
Namangan,1982.7,743.8,1238.9
Samarqand,2749.8,729.8,2020
Surxondaryo,1801,353.5,1447.5
Sirdaryo,657.2,208.9,448.3
Toshkent,2390.6,953,1437.6
Farg`ona,2729.8,785.2,1944.6
Xorazm,1369.3,317.6,1051.7
"Toshkent sh.",2136.6,2136.6,-
2001,,,
"O`zbekiston Respublikasi",24813.1,9225.3,15587.8
"Qoraqalpog`iston Respublikasi",1527,738.4,788.6
viloyatlar:,,,
Andijon,2216.5,665.6,1550.9
Buxoro,1437.7,442.6,995.1
Jizzax,991.5,298.2,693.3
Qashqadaryo,2212.5,559.1,1653.4
Navoiy,791.1,319.1,472
Namangan,1953.2,731.8,1221.4
Samarqand,2710,727.6,1982.4
Surxondaryo,1770.4,349.3,1421.1
Sirdaryo,649.9,207.9,442
Toshkent,2370.2,950.4,1419.8
Farg`ona,2697.5,780.8,1916.7
Xorazm,1347.7,316.6,1031.1
"Toshkent sh.",2137.9,2137.9,-
2000,,,
"O`zbekiston Respublikasi",24487.7,9165.5,15322.2
"Qoraqalpog`iston Respublikasi",1503,724.2,778.8
viloyatlar:,,,
Andijon,2186.2,657.5,1528.7
Buxoro,1419.3,440.7,978.6
Jizzax,974.8,294.7,680.1
Qashqadaryo,2166.8,551.3,1615.5
Navoiy,783.3,316.7,466.6
Namangan,1924.3,722.6,1201.7
Samarqand,2670.3,724.1,1946.2
Surxondaryo,1736.7,344.8,1391.9
Sirdaryo,642.2,206.1,436.1
Toshkent,2350.2,949.7,1400.5
Farg`ona,2664.4,776.1,1888.3
Xorazm,1323.9,314.7,1009.2
"Toshkent sh.",2142.3,2142.3,-
